"registry_entry_key","registry_pharmacy_name","registry_district","registry_area","gis_object_id","gis_global_id","gis_shop_name","gis_district","gis_sector","gis_cell","gis_village","gis_street_number","longitude","latitude","accuracy_m","collected_at","edited_at","source_url","review_reason"
"","","","","28","{0A9A16EB-45E2-4469-A515-A09E6FC84669}","Mediasol Pharmacy","Gasabo","Remera","","","","30.1105548","-1.9586098","0.000","2021-10-06T10:00:00.000Z","2023-11-01T08:44:08.826Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","NEW HOPE PHARMACY Ltd","GASABO","REMERA RUKIRI II","29","{4B962AE8-6E90-4D48-BDA6-543FFA5E1A45}","New Hope Pharmacy","Gasabo","Remera","","","","30.1107401","-1.9584045","0.000","2021-10-06T10:00:00.000Z","2023-11-01T08:44:09.719Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","","","","31","{6BA3B36E-B35E-4AFF-ADFF-7915662E3B78}","Shaloom Pharmacy","Kicukiro","Kicukiro","","","","30.1003195","-1.9718706","0.000","2021-10-06T10:00:00.000Z","2023-11-01T12:55:05.280Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","FAITH PHARMACY Ltd","KICUKIRO","KANOMBE KABEZA","32","{4CB687C6-ECAB-4514-8ECC-0D1A66B5BE1A}","Faith Pharmacy","Kicukiro","Kanombe","","","","30.1349857","-1.9762039","0.000","2021-10-06T10:00:00.000Z","2023-11-01T12:50:48.786Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","","","","33","{3CEF44F2-37D8-49F5-8A71-F6AD1BD20022}","Pharmacy Best Choice","Kicukiro","Gatenga","","","","30.0920399","-1.9760898","0.000","2021-10-06T10:00:00.000Z","2023-11-01T08:55:59.344Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","ISHYAKA PHARMACY Ltd","KICUKIRO","GIKONDO KINUNGA","34","{E07BEF5D-9447-4F66-BDAB-09585CB8AFE4}","Ishyaka Pharmacy","Kicukiro","Kanombe","","","","30.1210366","-1.9612834","0.000","2021-10-07T10:00:00.000Z","2023-11-01T12:50:54.292Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","sector_mismatch_or_ambiguous"
"","ADRENALINE PHARMACY Ltd","KICUKIRO","KANOMBE KABEZA","35","{AE951801-7582-4F46-9960-B516D24FEA28}","Adrenaline Pharmacy","Kicukiro","Kanombe","","","","30.1257498","-1.9707032","0.000","2021-10-07T10:00:00.000Z","2023-11-01T12:50:57.326Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","","","","36","{D17C4906-04BC-4A26-8BA9-59F94BD2ED52}","Orion Pharmacy","Kicukiro","Kanombe","","","","30.1504416","-1.9780797","0.000","2021-10-07T10:00:00.000Z","2023-11-01T12:52:15.254Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","37","{2FBC65BC-4F97-4A07-9A5D-3061DAC27339}","Pharmacy Du Progress","Kicukiro","Kigarama","Karugira","Umurimo","KK 31 Av","30.0766928","-1.9733275","3.000","2021-10-07T10:00:00.000Z","2023-11-01T08:58:38.194Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","GOLF PHARMACY","KICUKIRO","NYARUGUNGA KAMASHASHI","39","{04081143-74A6-4219-99CD-3D6C1CD5EB78}","Golf Pharmacy Ltd","Kicukiro","Kicukiro","Kicukiro","Kicukiro","NR 5","30.1049653","-1.9785105","3.900","2021-10-07T10:00:00.000Z","2023-11-01T08:59:43.610Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","sector_mismatch_or_ambiguous"
"","","","","40","{7A0AC379-5163-4C09-854A-243DDE7C51A9}","Dorce & Bella Pharmacy","Gasabo","Remera","","","","30.1165470","-1.9562739","0.000","2021-10-07T10:00:00.000Z","2023-11-01T09:00:10.267Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","PHARMACIE HAMPHAR Ltd","GASABO","KACYIRU KAMUTWA","41","{57DDB710-25BB-455E-AD39-A1090A4C1E96}","Hamphar Pharmacy","Gasabo","Kacyiru","","","","30.0770121","-1.9396605","0.000","2021-10-07T10:00:00.000Z","2023-11-01T13:04:44.789Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","EZOS PHARMACY Ltd","GASABO","KACYIRU KAMUTWA","42","{4A32F616-DD6E-4A29-8744-416C18840C33}","Ezos Pharmacy","Gasabo","Kacyiru","","","","30.0774966","-1.9390455","0.000","2021-10-07T10:00:00.000Z","2023-11-01T13:05:11.756Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","","","","43","{C8DD5A12-9BE8-40BB-AD05-B3B649AC3524}","JM Pharmacy","Gasabo","Kacyiru","Kamatamu","Nyagacyamo","KG 559 St","30.0942799","-1.9453702","2.000","2021-10-09T10:00:00.000Z","2023-11-01T09:20:15.037Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","DENA PHARMACY Ltd","GASABO","REMERA RUKIRI I","44","{606C0DBF-5213-439A-85FF-FD1AE76B08C5}","Dena Pharmacy","Gasabo","Remera","Nyabisindu","Kinunga","KG 213 St","30.1107906","-1.9546067","4.500","2021-10-09T10:00:00.000Z","2023-11-01T09:20:20.424Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","ASHERI PHARMACY Ltd","KICUKIRO","NYARUGUNGA NKOKO","45","{FE538D17-BDEF-42FC-80F8-6B84788123F8}","Asheri Pharmacy","Kicukiro","Nyarugunga","Nonko","Nyarutovu","KK 20 Av","30.1561118","-1.9771522","1.500","2021-10-09T10:00:00.000Z","2023-11-01T10:11:59.273Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","","","","47","{FFE02537-7193-4B3D-9BB3-291AD24937E6}","Josephar Pharmacy","Gasabo","Gisozi","Musezero","Gasharu","KG 33 Av","30.0658503","-1.9146583","2.500","2021-10-09T10:00:00.000Z","2023-11-01T09:20:42.364Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","48","{111D398E-2490-4E73-AF95-470839CADBE5}","Jordan Pharmacy","Gasabo","Gisozi","Musezero","Gasharu","KK 33 Av","30.0662171","-1.9148078","2.500","2021-10-09T10:00:00.000Z","2023-11-01T09:20:46.256Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","49","{8B5D7491-8959-41D6-97EC-B167DB3A9FBA}","Amayi Pharmacy","Gasabo","Gisozi","Musezero","Gasharu","KK 33 Av","30.0670085","-1.9151509","3.000","2021-10-09T10:00:00.000Z","2023-11-01T09:20:47.821Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","50","{0EA3A789-F5D0-4D5D-8983-508F6726AC3D}","Medivbe Pharmacy","Gasabo","Gisozi","Ruhango","Umurava","KG 14 Av","30.0546046","-1.9243094","3.500","2021-10-09T10:00:00.000Z","2023-11-01T09:20:53.298Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","53","{4DC0AE84-7E38-42A6-84F4-8CCB324CEC00}","Ydda Pharmacy","Kicukiro","Nyarugunga","Kamashashi","Umucyo","","30.1676344","-1.9762997","1.500","2021-10-09T10:00:00.000Z","2023-11-01T10:12:33.517Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","SABANS PHARMACY Limited","KICUKIRO","KANOMBE KABEZA","54","{0F97F098-6C08-4846-9D14-8D78862D3079}","Sabans Pharmacy","Kicukiro","Nyarugunga","Kamashashi","Umucyo","","30.1675141","-1.9762610","1.000","2021-10-09T10:00:00.000Z","2023-11-01T10:12:34.367Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","sector_mismatch_or_ambiguous"
"","","","","55","{576AE351-0173-4F7A-9337-E19C1E93697F}","Mediasol Pharmacy","Kicukiro","Nyarugunga","Kamashashi","Umucyo","","30.1666845","-1.9758093","2.500","2021-10-09T10:00:00.000Z","2023-11-01T10:12:40.158Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","56","{0148988C-2E1C-42F1-8BB2-C042E9E0CE5C}","Baobab Pharmacy","Kicukiro","Nyarugunga","Kamashashi","Umucyo","KK 11 Av","30.1679930","-1.9763658","2.500","2021-10-09T10:00:00.000Z","2023-11-01T10:12:41.016Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","RITE PHARMACY Ltd","KICUKIRO","KANOMBE KABEZA","58","{87188EAE-CD79-4F64-9228-031522BFD96E}","Rite Pharmacy","Kicukiro","Nyarugunga","Kamashashi","Uruhongore","KK 80 St","30.1692424","-1.9766664","2.500","2021-10-09T10:00:00.000Z","2023-11-01T10:12:50.861Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","sector_mismatch_or_ambiguous"
"","","","","59","{C643BC9F-9293-4EE5-9118-FBFE2225335D}","Muhire Pharmacy","Kicukiro","Nyarugunga","Kamashashi","Uruhongore","KK 80 St","30.1689358","-1.9765312","4.000","2021-10-09T10:00:00.000Z","2023-11-01T10:12:51.785Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","60","{88971049-A7BF-4CB1-B995-2F2C4F762340}","Pfg Pharmacy","Kicukiro","Gatenga","Nyanza","Juru","KK 383 St","30.0964845","-1.9907626","2.000","2021-10-09T10:00:00.000Z","2023-11-01T10:12:58.680Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","62","{DE068794-AE2F-4D64-8745-518B90EB88D8}","Mirra Pharmacy","Kicukiro","Gatenga","Nyanza","Juru","KK 541 St","30.0960792","-1.9904865","3.000","2021-10-09T10:00:00.000Z","2023-11-01T10:13:04.166Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","64","{61573AE6-C3BB-4B6C-BB40-DB9B124FC16B}","Pharmacy Score B 2","Gasabo","Remera","Rukiri I","Gisimenti","KG 173 St","30.1121179","-1.9603339","3.000","2021-10-11T10:00:00.000Z","2023-11-01T09:22:07.051Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","65","{688AF35C-E943-4A0C-A53D-3D04A4FD7EF9}","Adamson Pharmacy","Gasabo","Remera","Rukiri I","Gisimenti","KG 177 St","30.1117295","-1.9606454","3.500","2021-10-11T10:00:00.000Z","2023-11-01T09:22:07.553Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","66","{DD853BC8-BBCE-49BA-9394-0081519D5CEA}","Continentare Pharmacy ","Gasabo","Remera","Rukiri I","Gisimenti","KG 1 Av","30.1074600","-1.9606753","3.000","2021-10-09T10:00:00.000Z","2023-11-01T09:22:09.215Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","70","{9E042857-BAB9-4FD8-97B4-ED66FC9CBFE5}","Pharmacy Elon","Gasabo","Kacyiru","Kibaza","Iriba","KG 14 Av","30.0645135","-1.9301099","2.500","2021-10-11T10:00:00.000Z","2023-11-01T09:24:29.843Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","71","{5500D70D-666A-425A-B096-2AC5F45B7CA1}","Exterm Pharmacy","Kicukiro","Kicukiro","Kicukiro","Gasave","NR 5","30.1048856","-1.9780451","3.900","2021-10-11T10:00:00.000Z","2023-11-01T10:14:11.684Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","72","{2C1AC108-4B75-49C7-94A7-DC37645F67C3}","Rwarubukira Pharmacy","Kicukiro","Kigarama","Nyarurama","Rebero","KK 4 Av","30.0498814","-1.9973335","3.000","2021-10-11T10:00:00.000Z","2023-11-01T10:14:16.009Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","76","{A1D2CEB9-3075-486F-9DEF-A8079C8D562A}","Paniel Pharmacy","Nyarugenge","Muhima","Kabasengerezi","Ikana","KN 86 St","30.0593801","-1.9413169","1.500","2021-10-12T10:00:00.000Z","2023-11-01T10:39:06.039Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","78","{B6CAE33A-590C-4635-9982-F9EA152B27AF}","Safacare  Pharmacy","Nyarugenge","Nyarugenge","Biryogo","Gabiro","KN 119 St","30.0599595","-1.9643075","2.000","2021-10-12T10:00:00.000Z","2023-11-01T10:39:23.765Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","80","{24CE5647-059A-4BC0-ACDA-EAEA2BC7ADB2}","Mini Pharmacy","Nyarugenge","Nyarugenge","Biryogo","Gabiro","","30.0595428","-1.9655853","2.000","2021-10-12T10:00:00.000Z","2023-11-01T10:39:25.639Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","82","{D63B7942-954C-44AB-8EA4-49A65EBB42DD}","Sanophar Pharmacy","Nyarugenge","Muhima","Tetero","Intiganda","KN 93 St","30.0475934","-1.9408219","3.500","2021-10-12T10:00:00.000Z","2023-11-01T10:39:48.792Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","CHAPPEDELINE PHARMACY Ltd","GASABO","KINYINYA KARAMA","86","{6BB9C253-D988-4705-9DF9-D010C71B53D2}","CHAPPEDELINE PHARMACY","Gasabo","Kinyinya","Gasharu","Gasharu","","30.1281958","-1.9064610","4.500","2021-10-13T10:00:00.000Z","2023-11-01T09:29:20.032Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","","","","89","{F1949900-DB12-44E8-8DA5-6E86D8C60DC8}","Deuphar Pharmacy ","Nyarugenge","Kimisagara","Katabaro","Akishuri","KN 20 Ave","30.0506383","-1.9501435","3.900","2021-10-13T10:00:00.000Z","2023-11-01T10:40:33.365Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","90","{F8DFB6EF-5D76-49CB-BB96-4BFF29FB781A}","Pharmacy Umurava","Nyarugenge","Rwezamenyo","Rwezamenyo II","Amahoro","KN 302 St","30.0528833","-1.9759266","5.500","2021-10-13T10:00:00.000Z","2023-11-01T10:40:41.136Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","93","{44D7C91B-12A4-4076-B6C7-2C9C27667A97}","El Dolado Pharmacy","Nyarugenge","Nyakabanda","Munanira I","Kabusunzu","DR 71","30.0552383","-1.9610298","3.000","2021-10-13T10:00:00.000Z","2023-11-01T10:40:57.093Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
