december_source_serial,december_name,december_district,december_sector,december_cell,current_registry_entry_key,current_source_serial,current_name,current_district,current_sector_cell_raw,registry_match_score,registry_match_margin,name_score,district_match,sector_match,cell_match,professional_registration_match,phone_number,phone_source,phone_evidence_url,phone_evidence_reference,google_maps_url,maps_url_source,browser_match_status
12,SAINTE RITA PHARMACY LTD,NYAGATARE,NYAGATARE,NYAGATARE,retail-2026-05-12,12,SAINTE RITA PHARMACY LTD,NYAGATARE,NYAGATARE NYAGATARE,1.000,0.476,1.000,true,true,true,true,+250788587206,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Nyagatare_for_JULY-AUGUST-SEPTEMBER_2026.pdf,nyagatare July-September 2026 duty roster,,,unmatched+public_phone
13,BONA CURARE PHARMA LIMITED,RUSIZI,KAMEMBE,KAMASHANGI,retail-2026-05-13,13,BONA CURARE PHARMA LIMITED,RUSIZI,KAMEMBE KAMASHANGI,1.000,0.480,1.000,true,true,true,true,,,,,,,unmatched
14,KIVU BEACH PHARMACY LTD,RUBAVU,GISENYI,NENGO,retail-2026-05-14,14,KIVU BEACH PHARMACY LTD,RUBAVU,GISENYI NENGO,1.000,0.442,1.000,true,true,true,true,+250786271600,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rubavu_for_JULY-AUGUST-SEPTEMBER_2026.pdf,rubavu July-September 2026 duty roster,,,matched+public_phone
15,EL-SHADAI PHARMACY LTD,GASABO,NDUBA,GATUNGA,retail-2026-05-15,15,EL -SHADAI PHARMACY LTD,GASABO,NDUBA GATUNGA,1.000,0.480,1.000,true,true,true,true,+250785247846,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,https://www.google.com/maps/place/EL+SHADAI+PHARMACY/data=!4m7!3m6!1s0x19dca190a257af5d:0x4e59037a6fa99463!8m2!3d-1.9132598!4d30.0762646!16s%2Fg%2F11j5ksq6bt!19sChIJXa9XopCh3BkRY5Spb3oDWU4,google_maps_browser,matched+public_phone
16,GALENA PHARMACY LTD,KICUKIRO,KANOMBE,BUSANZA,retail-2026-05-16,16,GALENA PHARMACY Limited,KICUKIRO,KANOMBE BUSANZA,0.980,0.207,1.000,true,true,true,false,,,,,,,unmatched
17,RINDA PHARMACY LTD,RUBAVU,RUBAVU,BYAHI,retail-2026-05-17,17,RINDA PHARMACY LTD,RUBAVU,RUBAVU BYAHI,1.000,0.293,1.000,true,true,true,true,+250788517256,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rubavu_for_JULY-AUGUST-SEPTEMBER_2026.pdf,rubavu July-September 2026 duty roster,,,needs_review+public_phone
18,ZENN PHARMACY LTD,KICUKIRO,NIBOYE,GATARE,retail-2026-05-19,19,ZENN PHARMACY LTD,KICUKIRO,NIBOYE GATARE,1.000,0.404,1.000,true,true,true,true,,,,,,,matched
19,ZELA PHARMACY LTD,RUBAVU,GISENYI,MBUGANGARI,retail-2026-05-20,20,ZELA PHARMACY LTD,RUBAVU,GISENYI MBUGANGARI,1.000,0.420,1.000,true,true,true,true,,,,,,,matched
20,CIVITAS PHARMACY LTD,NYARUGENGE,KIGALI,KIGALI,retail-2026-05-21,21,CIVITAS PHARMACY LTD,NYARUGENGE,KIGALI KIGALI,1.000,0.293,1.000,true,true,true,true,,,,,,,unmatched
21,SALUS PHARMACY LTD,RUBAVU,RUBAVU,BYAHI,retail-2026-05-22,22,SALUS PHARMACY LTD,RUBAVU,RUBAVU BYAHI,1.000,0.462,1.000,true,true,true,true,,,,,,,unmatched
22,SALAMA-ONE PHARMACY Ltd,GASABO,REMERA,RUKIRI II,retail-2026-05-23,23,SALAMA -ONE PHARMACY Ltd,GASABO,REMERA RUKIRI II,1.000,0.073,1.000,true,true,true,true,+250785866839,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,unmatched+public_phone
23,ELVINO PHARMACY LTD,NYAMASHEKE,KANJONGO,KIBOGORA,retail-2026-05-24,24,ELVINO PHARMACY LTD,NYAMASHEKE,KANJONGO KIBOGORA,1.000,0.392,1.000,true,true,true,true,,,,,,,unmatched
24,TAQWA PHARMACY LTD,BUGESERA,NYAMATA,NYAMATA,retail-2026-05-25,25,TAQWA PHARMACY LTD,BUGESERA,NYAMATA NYAMATA,1.000,0.442,1.000,true,true,true,true,,,,,,,needs_review
27,FADHIL PHARMACY LTD,NYARUGENGE,RWEZAMENY O,RWEZAMENYO,retail-2026-05-27,27,FADHIL PHARMACY LTD,NYARUGENGE,RWEZAMENYO RWEZAMENYO,0.940,0.420,1.000,true,false,true,true,+250788694901,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,matched+public_phone
28,PHARMACURE Ltd,NYARUGENGE,NYAMIRAMBO,MUMENA,retail-2026-05-28,28,PHARMACURE Ltd,NYARUGENGE,NYAMIRAMBO MUMENA,1.000,0.380,1.000,true,true,true,true,+250788487755,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,matched+public_phone
29,PHARMACIE LA PRIERE LTD,BUGESERA,RILIMA,NYABIGENDWA,retail-2026-05-30,30,PHARMACIE LA PRIERE LTD,BUGESERA,RILIMA NYABIGENDWA,1.000,0.421,1.000,true,true,true,true,,,,,,,unmatched
30,ARLOMED PHARMACY LTD,RULINDO,SHYORONGI,BUGARAGARA,retail-2026-05-31,31,ARLOMED PHARMACY LTD,RULINDO,SHYORONGI BUGARAGARA,1.000,0.293,1.000,true,true,true,true,,,,,,,unmatched
32,ACE PHARMACY LTD,RUBAVU,GISENYI,NENGO,retail-2026-05-32,32,ACE PHARMACY LTD,RUBAVU,GISENYI NENGO,1.000,0.020,1.000,true,true,true,true,,,,,,,unmatched
33,OM PHARMACY LTD,BUGESERA,RUHUHA,RUHUHA,retail-2026-05-33,33,OM PHARMACY LTD,BUGESERA,RUHUHA RUHUHA,1.000,0.293,1.000,true,true,true,true,+250787107130,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf,bugesera July-September 2026 duty roster,,,unmatched+public_phone
34,BIGIRA PHARMACY LTD,GATSIBO,NGARAMA,NGARAMA,retail-2026-05-34,34,BIGIRA PHARMACY LTD,GATSIBO,NGARAMA NGARAMA,1.000,0.293,1.000,true,true,true,true,,,,,,,unmatched
35,AMIZER O PHARMACY LTD,KICUKIRO,NIBOYI,GATARE,retail-2026-05-35,35,AMIZER O PHARMACY LTD,KICUKIRO,NIBOYI GATARE,1.000,0.392,1.000,true,true,true,true,,,,,,,matched
36,GOLF PHARMACY,KICUKIRO,NYARUGUNGA,KAMASHASHI,retail-2026-05-36,36,GOLF PHARMACY,KICUKIRO,NYARUGUNGA KAMASHASHI,1.000,0.080,1.000,true,true,true,true,,,,,,,unmatched
37,PHARMACY KIRA LTD,KICUKIRO,NYARUGUNGA,KAMASHASHI,retail-2026-05-37,37,PHARMACY KIRA LTD,KICUKIRO,NYARUGUNGA KAMASHASHI,1.000,0.153,1.000,true,true,true,true,,,,,,,matched
38,PHARMACY FOR FAMILY GROUP (P.F.G),GASABO,RUSORORO,NYAGAHINGA,retail-2026-05-38,38,PHARMACY FOR FAMILY GROUP (P.F.G),GASABO,RUSORORO NYAGAHINGA,0.980,0.133,1.000,true,true,true,false,,,,,,,unmatched
39,ZEAL PHARMACY LTD,KICUKIRO,KANOMBE,RUBIRIZI,retail-2026-05-39,39,ZEAL PHARMACY LTD,KICUKIRO,KANOMBE RUBIRIZI,1.000,0.420,1.000,true,true,true,true,,,,,,,unmatched
40,LEGEND PHARMACY LTD,GASABO,RUSORORO,NYAGAHINGA,retail-2026-05-40,40,LEGEND PHARMACY LTD,GASABO,RUSORORO NYAGAHINGA,0.980,0.133,1.000,true,true,true,false,+250780634704,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,matched+public_phone
41,LIFESTYLE PHARMACY LTD,GASABO,REMERA,NYARUTARAM A,retail-2026-05-41,41,LIFESTYLE PHARMACY LTD,GASABO,REMERA NYARUTARAMA,0.980,0.273,1.000,true,true,false,true,,,,,,,needs_review
42,CALABRIA PHARMACY LTD,HUYE,NGOMA,BUATARE,retail-2026-05-42,42,CALABRIA PHARMACY LTD,HUYE,NGOMA BUATARE,1.000,0.493,1.000,true,true,true,true,+250789124156,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Huye_District_JULY-AUGUST-SEPTEMBER_2026.pdf,huye July-September 2026 duty roster,,,unmatched+public_phone
43,PHARMACY ISHEMA RY’INGABO NZIZA LTD,GASABO,RUSORORO,KABUGA,retail-2026-05-43,43,PHARMACY ISHEMA RY’INGABO NZIZA LTD,GASABO,RUSORORO KABUGA,1.000,0.153,1.000,true,true,true,true,+250788847538,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,matched+public_phone
44,FELIPHARM PHARMACY LTD,MUSANZE,MUHOZA,MPENGE,retail-2026-05-44,44,FELIPHARM PHARMACY LTD,MUSANZE,MUHOZA MPENGE,1.000,0.374,1.000,true,true,true,true,,,,,,,needs_review
45,ERVASIA PHARMACY LTD,MUHANGA,SHYOGWE,RULI,retail-2026-05-45,45,ERVASIA PHARMACY LTD,MUHANGA,SHYOGWE RULI,1.000,0.293,1.000,true,true,true,true,+250787864376,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Muhanga_District_JULY-AUGUST-SEPTEMBER_2026.pdf,muhanga July-September 2026 duty roster,,,unmatched+public_phone
46,SHEKINA PHARMACY LTD,NYARUGENGE,NYAMIRAMBO,RUGARAMA,retail-2026-05-46,46,SHEKINA PHARMACY LTD,NYARUGENGE,NYAMIRAMBO RUGARAMA,0.980,0.271,1.000,true,true,true,false,,,,,,,needs_review
48,ELDORADO PHARMACY LTD,KICUKIRO,NYARUGUNGA,NONKO,retail-2026-05-50,50,EL DORADO PHARMACY Ltd,KICUKIRO,NYARUGUNGA NKOKO,0.935,0.252,0.941,true,true,false,true,+250783615532,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,matched+public_phone
49,GALLANT PHARMACY LTD,KICUKIRO,NIBOYE,GATARE,retail-2026-05-51,51,GALLANT PHARMACY Ltd,KICUKIRO,KICUKIRO KICUKIRO,0.900,0.193,1.000,true,false,false,false,+250785043440,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,matched+public_phone
50,KERIDO PHARMACY LTD,KICUKIRO,NYARUGUNGA,NONKO,retail-2026-05-49,49,KERIDO PHARMACY LTD,KICUKIRO,NYARUGUNGA NONKO,1.000,0.420,1.000,true,true,true,true,,,,,,,unmatched
51,EL DORADO PHARMACY Ltd,KICUKIRO,NYARUGUNGA,NKOKO,retail-2026-05-50,50,EL DORADO PHARMACY Ltd,KICUKIRO,NYARUGUNGA NKOKO,1.000,0.293,1.000,true,true,true,true,+250783615532,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,matched+public_phone
52,GALLANT PHARMACY Ltd,KICUKIRO,KICUKIRO,KICUKIRO,retail-2026-05-51,51,GALLANT PHARMACY Ltd,KICUKIRO,KICUKIRO KICUKIRO,0.980,0.273,1.000,true,true,true,false,+250785043440,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
53,SALAMA-AZUR PHARMACY Ltd,NYARUGENGE,NYAMIRAMBO,RUGARAMA,retail-2026-05-52,52,SALAMA -AZUR PHARMACY Ltd,NYARUGENGE,NYAMIRAMBO RUGARAMA,1.000,0.293,1.000,true,true,true,true,+250785866839,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
54,INTER PHARMACY LIMITED,GISAGARA,NDORA,GISAGARA,retail-2026-05-53,53,INTER PHARMACY LIMITED,GISAGARA,NDORA GISAGARA,0.980,0.384,1.000,true,true,true,false,,,,,,,local_evidence_only
55,PHARMACIE VITAMIA LTD,BUGESERA,NTARAMA,KANZENZE,retail-2026-05-54,54,PHARMACIE VITAMIA LTD,BUGESERA,NTARAMA KANZENZE,0.980,0.273,1.000,true,true,true,false,,,,,,,local_evidence_only
56,PHARMACIE CONSEIL- NYARUTARAMA,GASABO,REMERA,NYARUTARAM A,retail-2026-05-55,55,PHARMACIE CONSEIL - NYARUTARAMA,GASABO,REMERA NYARUTARAMA,0.980,0.172,1.000,true,true,false,true,,,,,,,local_evidence_only
57,VITA GRATIA PHARMACY LTD,KICUKIRO,NIBOYE,SOVU,retail-2026-05-56,56,VITA GRATIA PHARMACY LTD,KICUKIRO,NIBOYE GASHARU,0.960,0.113,1.000,true,true,false,false,+250783254411,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
58,NOVAX PHARMA Ltd,NYANZA,BUSASAMANA,NYANZA,retail-2026-05-57,57,NOVAX PHARMA Ltd,NYANZA,BUSASAMANA NYANZA,1.000,0.293,1.000,true,true,true,true,,,,,,,local_evidence_only
59,HILDA PHARMACY LTD,GATSIBO,NGARAMA,NGARAMA,retail-2026-05-59,59,HILDA PHARMACY LTD,GATSIBO,NGARAMA NGARAMA,1.000,0.353,1.000,true,true,true,true,,,,,,,local_evidence_only
60,JAHRAS PHARMACY LTD,KICUKIRO,NYARUGUNGA,NONKO,retail-2026-05-60,60,JAHRAS PHARMACY LTD,KICUKIRO,NYARUGUNGA NONKO,1.000,0.480,1.000,true,true,true,true,+250788281514,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
61,KABARE PHARMACY LTD,GASABO,RUSORORO,KABUGA I,retail-2026-05-61,61,KABARE PHARMACY LTD,GASABO,RUSORORO KABUGA I,1.000,0.293,1.000,true,true,true,true,+250788493240,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
62,LIFEPLUS PHARMACY LTD,KAYONZA,MUKARANGE,BWIZA,retail-2026-05-62,62,LIFEPLUS PHARMACY LTD,KAYONZA,MUKARANGE BWIZA,0.980,0.273,1.000,true,true,true,false,,,,,,,local_evidence_only
63,PHARMACIE LA SIRENE LTD,KICUKIRO,KICUKIRO,KICUKIRO,retail-2026-05-63,63,PHARMACIE LA SIRENE LTD,KICUKIRO,KICUKIRO KICUKIRO,1.000,0.353,1.000,true,true,true,true,,,,,,,local_evidence_only
64,ROOTMED PHARMACY LTD,KICUKIRO,MASAKA,CYIMO,retail-2026-05-64,64,ROOTMED PHARMACY LTD,KICUKIRO,MASAKA CYIMO,0.980,0.425,1.000,true,true,true,false,+250782893234,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
65,BESTDAY PHARMACY LTD,KAMONYI,GACURABWEN GE,KIGEMBE,retail-2026-05-65,65,BESTDAY PHARMACY LTD,KAMONYI,GACURABWEN GE KIGEMBE,1.000,0.293,1.000,true,true,true,true,+250788686773,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kamonyi_District_JULY-AUGUST-SEPTEMBER_2026.pdf,kamonyi July-September 2026 duty roster,,,phone_from_public_evidence
66,BLESSING PHARMACY LTD,MUHANGA,NYAMABUYE,GAHOGO,retail-2026-05-66,66,BLESSING PHARMACY LTD,MUHANGA,NYAMABUYE GAHOGO,1.000,0.293,1.000,true,true,true,true,+250782843374,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Muhanga_District_JULY-AUGUST-SEPTEMBER_2026.pdf,muhanga July-September 2026 duty roster,,,phone_from_public_evidence
67,DELPHAL PHARMACY LTD,KICUKIRO,GAHANGA,KAREMBURE,retail-2026-05-67,67,DELPHAL PHARMACY LTD,KICUKIRO,GAHANGA KAREMBURE,1.000,0.215,1.000,true,true,true,true,,,,,,,local_evidence_only
68,FAST GENERAL SERVICES LTD,BUGESERA,NTARAMA,KANZENZE,retail-2026-05-68,68,FAST GENERAL SERVICES LTD,BUGESERA,NTARAMA KANZENZE,1.000,0.293,1.000,true,true,true,true,,,,,,,local_evidence_only
69,INTWARI MU BUZIMA PHARMACY LTD,RUBAVU,GISENYI,MBUGANGARI,retail-2026-05-69,69,INTWARI MU BUZIMA PHARMACY LTD,RUBAVU,GISENYI MBUGANGARI,1.000,0.293,1.000,true,true,true,true,,,,,,,local_evidence_only
70,MEDICO PHARMACY LTD,MUSANZE,BUSOGO,SAHARA,retail-2026-05-70,70,MEDICO PHARMACY LTD,MUSANZE,BUSOGO SAHARA,1.000,0.392,1.000,true,true,true,true,+250783111847,public_evidence_csv,https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=6&cHash=64224734865548fd13d5cc8f5b23a505,MMI pharmacy partner directory page 6,,,phone_from_public_evidence
71,PHARMACIE AMIRAH LTD,MUSANZE,MUHOZA,KIGOMBE,retail-2026-05-71,71,PHARMACY AMIRAH LTD,MUSANZE,MUHOZA KIGOMBE,0.980,0.292,1.000,true,true,true,false,+250788971274,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Musanze_JULY-AUGUST-SEPTEMBER_2026.pdf,musanze July-September 2026 duty roster,,,phone_from_public_evidence
73,PRESTIGE PHARMACY LTD,RUBAVU,GISENYI,KIVUMU,retail-2026-05-73,73,PRESTIGE PHARMACY LTD,RUBAVU,GISENYI KIVUMU,1.000,0.293,1.000,true,true,true,true,+250788228131,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rubavu_for_JULY-AUGUST-SEPTEMBER_2026.pdf,rubavu July-September 2026 duty roster,,,phone_from_public_evidence
74,PROGRESS PHARMACY LTD,KICUKIRO,KIGARAMA,BWERANKONI,retail-2026-05-74,74,PROGRESS PHARMACY LTD,KICUKIRO,KIGARAMA BWERANKONI,1.000,0.100,1.000,true,true,true,true,+250788646143,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
76,RWEGO PHARMACY LTD,KAMONYI,GACURABWEN GE,NKINGO,retail-2026-05-76,76,RWEGO PHARMACY LTD,KAMONYI,GACURABWEN GE NKINGO,1.000,0.293,1.000,true,true,true,true,+250788421654,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kamonyi_District_JULY-AUGUST-SEPTEMBER_2026.pdf,kamonyi July-September 2026 duty roster,,,phone_from_public_evidence
